model,benchmark,stratifier,ensemble,iv_gap,iv_se,z,p_one,p_two,n_strata
mistralai/Mistral-7B-v0.3,gsm8k_test,kmeans4,v2,0.16216216216216217,0.03514458387408102,4.614143753790639,0.9999980264041625,3.947191675068851e-06,1
mistralai/Mistral-7B-v0.3,gsm8k_test,len_quintile,v2,0.15384615384615385,0.07216024245882201,2.132007163556104,0.9834968711693838,0.03300625766123244,1
mistralai/Mistral-7B-v0.3,gsm8k_test,pred_acc,v2,0.12121212121212123,0.05769525080199931,2.100902925755561,0.9821752557255553,0.035649488548889385,1
mistralai/Mistral-7B-v0.3,gsm8k_test,random_0,v2,0.13135449958290332,0.024230384618149407,5.421065395904372,0.9999999703775598,5.924488033492992e-08,2
mistralai/Mistral-7B-v0.3,gsm8k_test,random_2,v2,0.17708333333333334,0.03916561682056944,4.521397789918905,0.9999969283689562,6.143262087698886e-06,1
mistralai/Mistral-7B-v0.3,gsm8k_test,random_3,v2,0.1509433962264151,0.03493660753858684,4.320493798938574,0.9999922159784325,1.556804313507243e-05,1
mistralai/Mistral-7B-v0.3,gsm8k_test,random_4,v2,0.11494252873563218,0.03439354046699092,3.3419801269354017,0.999584084919485,0.000831830161029945,1
mistralai/Mistral-7B-v0.3,mmlu_test,kmeans4,v2,-0.1953488372093024,0.20691140855381607,-0.944118251258696,0.17255461183213516,0.3451092236642703,1
mistralai/Mistral-7B-v0.3,mmlu_test,len_quintile,v2,-0.28979591836734697,0.20423421749050563,-1.418939107893705,0.0779583847126986,0.1559167694253972,1
mistralai/Mistral-7B-v0.3,mmlu_test,pred_acc,v2,-0.2791666666666667,0.20324032111472842,-1.3735791457890785,0.08478618739566135,0.1695723747913227,1
mistralai/Mistral-7B-v0.3,humaneval,random_0,v2,0.015151515151515166,0.20652799044107562,0.073363010598014,0.5292413742427888,0.9415172515144223,1
mistralai/Mistral-7B-v0.3,humaneval,random_1,v2,-0.20000000000000004,0.2,-1.0000000000000002,0.15865525393145702,0.31731050786291404,1
mistralai/Mistral-7B-v0.3,humaneval,random_2,v2,-0.3333333333333333,0.21081851067789195,-1.5811388300841895,0.056923149003329024,0.11384629800665805,1
